IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19017963
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19248143
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19475844
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19698999
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19925056
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20171731
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20467030
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20830828
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21247873
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",36,"Australia","AU","AUS",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21660892
