IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",75055
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",76215
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",77195
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",78075
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",78941
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",79869
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",80896
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",82016
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",83251
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",84534
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",85695
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",86729
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",87674
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",88497
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",89236
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",89941
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",90565
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",91119
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",91626
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",28,"Antigua and Barbuda","AG","ATG",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",92117
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37070774
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37480493
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",37885028
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38278164
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",32,"Argentina","AR","ARG",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",38668797
