IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3182021
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3153612
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3123551
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3092991
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3062623
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3032634
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3003387
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2976084
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2951689
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2930542
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2913400
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2900654
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2892193
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2887014
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2884102
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2882481
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2881063
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2879355
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2877013
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",8,"Albania","AL","ALB",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2873884
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",8190337
49,"Total population by sex","Total population by sex","World Population Prospects",2022,"United Nations Population Division",31,"Azerbaijan","AZ","AZE",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",8282023
